Timestamp,Sargassum_Health_Index,Marine_Biodiversity_Score,Water_Temperature_C,Dissolved_Oxygen_mg_L,pH_Level,Nutrient_Level_ppm,Impact_Likelihood_Percent
2024-10-01 00:00:00,77.54443657521519,73.63818177042789,24.816670788504606,7.123918326174272,8.137012456105316,3.815641977602289,21.157110922216916
2024-10-01 00:05:00,64.18943568346435,82.8027413763542,25.652961358198688,7.188023722563593,8.162773370325334,2.87171137537318,24.35656197692689
2024-10-01 00:10:00,79.11868647796267,80.53984605047827,26.161887298000345,6.710680769665896,7.984880606199013,3.368935775447841,18.309975993120293
2024-10-01 00:15:00,78.92378526671374,83.67815660143864,26.182664495547566,6.9070210413915945,8.105097736003989,4.31223174573644,24.547348149807704
2024-10-01 00:20:00,61.54554435577715,79.60352865486085,24.88833295512756,6.266954167230821,8.144991881288533,2.850920605424496,32.44125860134049
2024-10-01 00:25:00,45.99083416556175,77.26838320441378,25.46186152842797,7.236564513183983,8.1520465912497,3.248723907757746,40.51608448910324
2024-10-01 00:30:00,61.699900208087996,81.81779549919617,25.803737454017703,7.14125636118151,8.073856417977229,2.961027184310866,31.084097125979447
2024-10-01 00:35:00,67.68596718196004,87.20338895356464,24.929094763667678,7.446997116322862,7.96994443478325,3.328108560488602,22.8568250957762
2024-10-01 00:40:00,58.073098927126296,82.90984369075682,25.680969062504243,7.377593733037237,8.14997917294148,3.259693644267776,26.335535288568124
2024-10-01 00:45:00,66.2505505065034,72.85410274027912,25.767206932573743,5.964142239196753,8.123915207630995,3.2603987444852254,29.52429292933742
2024-10-01 00:50:00,87.146546523547,80.9436606249237,25.531132504199157,6.656134502370396,8.183167146881637,3.74664667910914,21.50018499257562
2024-10-01 00:55:00,74.1887221764991,90.63101069549845,25.810133739098248,8.096608504523688,7.890846713503108,2.637087312062425,19.672478958225945
2024-10-01 01:00:00,58.30420835692988,76.6989550460186,27.068329023246427,7.056941364422118,8.103307045073658,3.0975467185514574,31.163201063297254
2024-10-01 01:05:00,58.0128905983593,77.56916306148372,24.17551492911832,7.737242208836802,8.067324511360393,2.9744340009997683,31.068479228253516
2024-10-01 01:10:00,79.19116443185042,70.20952314214442,26.314680832779352,7.0059475703510605,8.051195883421563,2.4814985548312904,25.397315878398803
2024-10-01 01:15:00,68.32113366298819,79.55771797103071,25.19353187201452,6.832738907901654,7.977599836469589,3.0874388121446894,25.76940587331014
2024-10-01 01:20:00,74.38055261960757,77.73161510999776,24.94576316521847,6.447481734590511,8.002090768734895,3.574005606058803,23.43554062588632
2024-10-01 01:25:00,73.47916853082434,82.3757875670576,24.446106306695338,7.097357066729822,8.113823247334741,2.274083646617572,25.36200717135185
2024-10-01 01:30:00,69.35138899902415,80.05518819288075,25.27755253730882,6.753826740657281,8.026072979831198,3.5086746793195682,23.323296672958836
2024-10-01 01:35:00,93.86043871986746,80.93106613944585,24.47902099948563,7.381465887345303,8.002736043434094,3.20821519153546,15.411253012663085
